Item_Name_k,Preparation_Time_Taken_Mins_k
Whisky Sour (MONKEY SHOULDER),94.445
BACARDI ANEJO 4 YEARS,94.550000000000011
Rawas (INDIAN),94.59083333333335
TANQUERAY,94.726379310344882
Kung Pao Patato,94.922815479528737
SHORBA (Palak),94.937285714285665
Dim Sum (VEG),95.030224215246648
Virgin Toddy,95.034803921568624
SEVEN UP,95.055940828402356
Margarita (SIEMPRE SILVER),95.08850000000001
GREEN PEPPER NOODLES (MUTTON),95.1
Pompfret (600 GMS),95.236576271186337
Negroni (HENDRICKS),95.257391304347834
BELVEDERE,95.26593220338988
Lemon Coriander (CHICKEN),95.325641025641033
PANEER TIKKA,95.56883464566927
Chinese Pompfret,95.71
Whisky Sour (GLENLIVET - 12 YEARS),95.725
Margarita (REGULAR),95.8145544554456
Exotic Stir Fried Vegetable,95.81575833333325
MALAYSIAN NOODLES (PRAWNS),95.914999999999992
HOUSEWINE-IMPORTED WHITE,95.91663043478259
Tandoori Pompfret (700 GMS),96.0
Lemon Coriander Soup (VEG),96.105828025477592
Seafood Combo Soup,96.1831168831169
Lobster (900 GMS),96.31
Bloody Mary (GREY GOOSE),96.379411764705878
Bloody Mary (ABSOLUT),96.451478260869564
Sex On The Beach (GREY GOOSE),96.459473684210536
Coastal Rawas (Tawa Fry),96.62703703703707
Lemon Coriander (VEG),96.642295597484249
Side Car,96.747368421052627
Old Monk Btl,96.85
Paneer Ke Shikanje,96.887765205091853
Double Bull Frog,96.938571428571436
Bhara Hua Aloo,96.970910307898237
Rawas (Tawa Fry),96.9980128205128
Chicken Kebabs (Murg Alishan),97.1091818181818
Dragon Roll (Crabmeat),97.232
Tom Kha (VEG),97.257023809523815
Rawas (Chinese),97.296052631578959
Tandoori Platter (NON-VEG),97.308849557522109
Lemon Coriander Soup (CHICKEN),97.32553672316385
Dragon Roll (CHICKEN),97.35476744186046
Fratelli Sauvignon Blanc,97.396
Negroni (GORDON'S),97.6025
Dim Sum (Crabmeat),97.884
Martini (TANQUERAY),98.00375
Gimlet (REGULAR),98.285
Seafood Creamy Corn Soup,98.314666666666668
Casillero Del Diablo Merlot,98.38
Whisky Sour (JACK DANIEL'S),98.524038461538453
Dalmore 15 Years,98.57
HENDRICKS,98.64886792452829
WONTON (CHICKEN),98.710714285714289
BACARDI RESERVA OCHO 8,98.8894117647059
Crab (700 GMS),99.026
Old Fashioned (BLACK LABEL),99.067500000000024
JOSE COERO (SILVER),99.068
Martini (GORDON'S),99.125
Rawas (Rawa Fry),99.143478260869543
Old Fashioned (JACK DANIEL'S),99.154062499999981
B And G MERLOT,99.201250000000016
French Fries,99.225593220339064
Mutton Kebabs (Gilafi Sheekh),99.3689643463497
CLEAR SOUP (CHICKEN),99.3903973509934
Chinese Prawns (150 GMS),99.507272727272735
THE BOTANIST,99.63277777777779
Surmai (Tawa Fry),99.6984615384615
Whisky Sour (TEACHER'S 50),100.00714285714287
Subzi Kurkure Kebab,100.01571734475388
Coastal Malwani Bombil Fry,100.07600000000001
MONKEY 47,100.13397260273972
Whisky Sour (JIM BEAM),100.27444444444444
Juices Natural,100.76320312499996
Squid,100.76333333333334
BOMBAY SAPPHIRE (BTL),100.83333333333333
PANEER MALAI TIKKA,100.96819209039549
LAGAVULIN -16 YEARS,101.21476190476191
Coastal Surmai (Koliwada),101.27368421052631
TEACHER'S ORIGIN,101.46333333333334
Tandoori Platter (VEG),101.6084
Toddy (XO),101.64
Manhattan (REGULAR),101.7235294117647
Sangria (INDIAN),101.7641
Squid (Chilly Fry),101.97285714285714
Cosmopolitan (GREY GOOSE),101.99458333333334
Prawns (REGULAR),102.01785714285714
Pompfret (700 GMS),102.23285714285714
Tandoori Crab (500 GMS),102.41499999999999
VEG SHEEK KABAB,102.64507692307693
Pompfret (800 GMS),102.809802955665
Soda,102.83866873065023
Cosmopolitan (ABSOLUT),103.06425287356322
Santa Julia Malbec,103.18
CHICKEN TIKKA (Pahadi),103.42573333333333
Surmai,103.519
TANDOORI ALOO,105.31560747663546
Chinese Prawns REG,105.40175781249997
Mustard Soup (SEA FOOD),105.42
Lobster (400 GMS),105.64
Manchow Soup (SEA FOOD),105.94739130434783
Bloody Mary (CIROC),106.1
Negroni (BOMBAY SAPPHIRE),106.88277227722772
Clams,107.28571428571429
CAOL ILA - 12 YEARS,107.34
Virgin Mary,107.42704081632654
Cheese Cherry Pineapple,107.84500000000001
Asolo Prosecco,107.88666666666667
HOUSEWINE-INDIAN ROSE,108.06161290322582
Grovere Cabernet Shiraz,108.47
Jacob Creek Shiraz Cabernet,108.55350877192983
Sunrise Tequila (REGULAR),109.20673469387758
Coastal Rawas (Malwani Fry),109.27
Sula Sauvignon Blanc,109.7512
B And G Cabernet Sauvignon,110.0775
Coastal Rawas (Koliwada),110.5378125
Tandoori Pomfrate Regular  (400gms),110.95666666666669
HOT POT NOODLES (PRAWNS),111.7025
Surmai (Rawa Fry),111.76818181818182
CAKE HALF KG,112.3882634730539
MUSHROOM HAKKA STYLE,112.39666666666668
Cheese Garlic Bread,112.42036496350364
TOMATO BASIL SOUP,113.37065217391304
TEACHER'S 50 (BTL),113.62
Martini (CIROC),113.98
Whisky Sour (BLACK DOG),114.21375
Chinese Pompfret (800 GMS),114.36500000000001
Tonic Water,114.5858049886621
Sula Brut,114.76363636363637
Vodka Tini,114.87333333333332
Stinger,115.61857142857143
Nederburg Sauvignon Blanc,116.21
White Lady (REGULAR),116.592
Yellow Tail Shiraz,117.02874999999999
Zonin Pinot Grigio Friuli Doc,118.20333333333333
WONTON (FISH),118.41999999999999
Sula Rasa Syrah,118.52617647058823
The Source Grenache Rose,119.39
Sunrise Tequila (SIEMPRE SILVER),121.12333333333333
MATEUS ROSE SPARKLING,121.14
White Lady (GORDON'S),121.3
P D R Alcohol,121.43793333333336
VAT 69 (BTL),121.44999999999999
